Player_Name,Country,Mat_Bat,Inns_Bat,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,Mat_Bowl,Inns_Bowl,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w
Afif Hossain Dhrubo,Bangladesh,28,23,3,373,52,18.64,302,123.5,0,1,28,14,8,0,28,10,108,139,7,02-Sep,02-Sep,19.85,7.72,15.4,0,0,0
Liton Kumar Das,Bangladesh,38,37,1,711,61,19.75,548,129.74,0,4,70,26,18,1,38,-,-,-,-,-,-,-,-,-,-,-,-
Mahedi Hasan,Bangladesh,18,12,2,120,23,12,124,96.77,0,0,6,4,7,0,18,18,348,416,15,02-Dec,02-Dec,27.73,7.17,23.2,0,0,0
Mohammad Naim Sheikh,Bangladesh,22,22,1,570,81,27.14,538,105.94,0,2,56,11,9,0,22,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Saifuddin,Bangladesh,25,14,4,172,39*,17.2,161,106.83,0,0,14,5,7,0,25,25,510,721,26,Apr-33,Apr-33,27.73,8.48,19.6,1,0,0
Mohammad Mushfiqur Rahim,Bangladesh,91,82,15,1321,72*,19.71,1143,115.57,0,5,111,33,38,29,91,-,-,-,-,-,-,-,-,-,-,-,-
Mustafizur Rahman,Bangladesh,52,18,6,47,15,3.91,67,70.14,0,0,3,3,12,0,52,52,1137,1418,76,May-22,May-22,18.65,7.48,14.9,2,1,0
Nasum Ahmed,Bangladesh,14,5,3,8,3*,4,18,44.44,0,0,0,0,2,0,14,14,270,280,18,04-Oct,04-Oct,15.55,6.22,15,2,0,0
Quazi Nurul Hasan,Bangladesh,22,19,7,173,30*,14.41,148,116.89,0,0,16,2,9,7,22,-,-,-,-,-,-,-,-,-,-,-,-
Shakib Al Hasan,Bangladesh,88,87,10,1763,84,22.89,1452,121.41,0,9,183,35,21,0,88,87,1953,2193,106,May-20,May-20,20.68,6.73,18.4,4,1,0
Shamim Hossain Patwari,Bangladesh,7,6,1,72,31*,14.4,50,144,0,0,9,2,5,0,7,2,12,11,0,-,-,-,5.5,-,0,0,0
Soumya Sarkar,Bangladesh,62,62,3,1109,68,18.79,903,122.81,0,5,109,43,30,0,62,20,222,354,9,Feb-19,Feb-19,39.33,9.56,24.6,0,0,0
Taskin Ahmed,Bangladesh,24,10,4,48,15*,8,47,102.12,0,0,6,1,2,0,24,22,430,601,15,Feb-32,Feb-32,40.06,8.38,28.6,0,0,0
Eoin Joseph Gerard Morgan,England,107,101,19,2360,91,28.78,1707,138.25,0,14,179,116,43,0,107,-,-,-,-,-,-,-,-,-,-,-,-
Moeen Munir Ali,England,38,35,8,437,72*,16.18,321,136.13,0,2,40,20,9,0,38,33,487,684,21,Feb-21,Feb-21,32.57,8.42,23.1,0,0,0
Jonathan Marc Bairstow,England,57,51,10,1143,86*,27.87,834,137.05,0,7,106,47,41,1,57,-,-,-,-,-,-,-,-,-,-,-,-
Samuel William Billings,England,32,29,4,417,87,16.68,325,128.3,0,2,39,12,16,1,32,-,-,-,-,-,-,-,-,-,-,-,-
Joseph Charles Buttler,England,82,74,15,1871,83*,31.71,1338,139.83,0,14,162,77,35,9,82,-,-,-,-,-,-,-,-,-,-,-,-
Thomas Kevin Curran,England,30,13,7,64,14*,10.66,56,114.28,0,0,1,4,8,0,30,29,588,907,29,Apr-36,Apr-36,31.27,9.25,20.2,1,0,0
Christopher James Jordan,England,65,38,18,296,36,14.8,222,133.33,0,0,21,14,36,0,65,64,1367,1984,73,04-Jun,04-Jun,27.17,8.7,18.7,2,0,0
Liam Stephen Livingstone,England,8,7,1,206,103,34.33,123,167.47,1,0,11,14,3,0,8,5,60,72,2,01-Aug,01-Aug,36,7.2,30,0,0,0
Dawid Johannes Malan,England,30,30,4,1123,103*,43.19,806,139.33,1,11,116,39,12,0,30,1,12,27,1,Jan-27,Jan-27,27,13.5,12,0,0,0
Tymal Solomon Mills,England,5,1,0,0,0,0,2,0,0,0,0,0,1,0,5,5,114,129,3,Jan-27,Jan-27,43,6.78,38,0,0,0
Adil Usman Rashid,England,62,21,12,58,9*,6.44,73,79.45,0,0,4,0,15,0,62,59,1266,1579,65,Apr-35,Apr-35,24.29,7.48,19.4,1,0,0
Jason Jonathan Roy,England,48,48,0,1193,78,24.85,819,145.66,0,6,125,54,9,0,48,-,-,-,-,-,-,-,-,-,-,-,-
David Jonathan Willey,England,32,21,8,182,29*,14,137,132.84,0,0,10,11,15,0,32,32,641,854,38,04-Jul,04-Jul,22.47,7.99,16.8,1,0,0
Christopher Roger Woakes,England,10,7,4,91,37,30.33,63,144.44,0,0,4,5,1,0,10,10,204,276,8,Feb-40,Feb-40,34.5,8.11,25.5,0,0,0
Mark Andrew Wood,England,17,2,2,10,5*,-,12,83.33,0,0,1,0,0,0,17,17,381,540,26,03-Sep,03-Sep,20.76,8.5,14.6,0,0,0
Samuel Matthew Curran,England,16,10,5,91,24,18.2,57,159.64,0,0,6,6,0,0,16,16,276,365,16,Mar-28,Mar-28,22.81,7.93,17.2,0,0,0
Andrew Balbirnie,Ireland,54,50,3,1109,83,23.59,878,126.3,0,4,128,15,24,0,54,-,-,-,-,-,-,-,-,-,-,-,-
Mark Richard Adair,Ireland,26,20,5,197,38,13.13,176,111.93,0,0,11,7,7,0,26,26,575,671,45,Apr-23,Apr-23,14.91,7,12.7,2,0,0
Curtis Campher,Ireland,4,4,1,40,22,13.33,27,148.14,0,0,3,1,1,0,4,4,67,102,3,Mar-19,Mar-19,34,9.13,22.3,0,0,0
Gareth James Delany,Ireland,26,24,4,465,89*,23.25,331,140.48,0,2,40,20,9,0,26,21,384,475,19,Feb-21,Feb-21,25,7.42,20.2,0,0,0
George Henry Dockrell,Ireland,86,44,19,363,34*,14.52,305,119.01,0,0,20,10,41,0,86,73,1382,1642,76,Apr-20,Apr-20,21.6,7.12,18.1,1,0,0
Shane Charles Getkate,Ireland,23,20,3,180,24,10.58,168,107.14,0,0,8,8,5,0,23,21,330,463,16,Mar-20,Mar-20,28.93,8.41,20.6,0,0,0
Graham Kennedy,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Brian Little,Ireland,24,12,5,52,15*,7.42,67,77.61,0,0,4,1,6,0,24,23,498,676,18,Mar-29,Mar-29,37.55,8.14,27.6,0,0,0
Andrew Robert McBrine,Ireland,20,12,5,81,14*,11.57,83,97.59,0,0,6,1,6,0,20,14,198,239,13,02-Jul,02-Jul,18.38,7.24,15.2,0,0,0
Barry John McCarthy,Ireland,15,9,4,76,30*,15.2,68,111.76,0,0,5,3,0,0,15,15,319,525,14,Apr-33,Apr-33,37.5,9.87,22.7,1,0,0
Kevin Joseph O'Brien,Ireland,107,100,10,1934,124,21.48,1470,131.56,1,5,160,82,38,0,107,51,903,1134,58,Apr-45,Apr-45,19.55,7.53,15.5,1,0,0
Neil Alan Rock,Ireland,8,4,1,35,22,11.66,38,92.1,0,0,2,0,6,2,8,-,-,-,-,-,-,-,-,-,-,-,-
Simi Singh,Ireland,34,29,6,250,57*,10.86,222,112.61,0,1,16,8,10,0,34,34,596,739,29,Mar-15,Mar-15,25.48,7.43,20.5,0,0,0
Paul Robert Stirling,Ireland,89,88,7,2495,115*,30.8,1819,137.16,1,19,288,87,25,0,89,39,528,670,19,Mar-21,Mar-21,35.26,7.61,27.7,0,0,0
Harry Tom Tector,Ireland,25,23,5,413,60,22.94,323,127.86,0,1,30,11,13,0,25,-,-,-,-,-,-,-,-,-,-,-,-
Kyle James Coetzer,Scotland,63,61,2,1411,89,23.91,1172,120.39,0,6,148,45,21,0,63,5,66,71,5,Mar-25,Mar-25,14.2,6.45,13.2,0,0,0
Richard Douglas Berrington,Scotland,66,59,12,1517,100,32.27,1184,128.12,1,5,136,46,7,0,66,39,500,630,27,Mar-17,Mar-17,23.33,7.56,18.5,0,0,0
Dylan Evers Budge,Scotland,7,5,2,60,24,20,60,100,0,0,2,3,4,0,7,1,6,18,1,Jan-18,Jan-18,18,18,6,0,0,0
Matthew Henry Cross,Scotland,48,38,6,811,66*,25.34,647,125.34,0,5,81,23,25,12,48,-,-,-,-,-,-,-,-,-,-,-,-
Joshua Henry Davey,Scotland,23,11,6,94,24,18.8,67,140.29,0,0,7,3,13,0,23,22,488,668,25,Apr-34,Apr-34,26.72,8.21,19.5,1,0,0
Alasdair Campbell Evans,Scotland,31,7,1,2,1*,0.33,11,18.18,0,0,0,0,10,0,31,29,648,806,39,May-24,May-24,20.66,7.46,16.6,0,1,0
Christopher Nicholas Greaves,Scotland,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,24,17,1,Jan-17,Jan-17,17,4.25,24,0,0,0
Hamza Tahir,Scotland,12,-,-,-,-,-,-,-,-,-,-,-,5,0,12,12,282,387,20,Apr-30,Apr-30,19.35,8.23,14.1,1,0,0
Michael Alexander Leask,Scotland,35,26,3,298,58,12.95,246,121.13,0,1,18,15,20,0,35,26,441,591,22,Mar-20,Mar-20,26.86,8.04,20,0,0,0
Calum Scott MacLeod,Scotland,53,51,9,1114,74,26.52,977,114.02,0,7,98,22,27,0,53,14,174,209,5,Feb-17,Feb-17,41.8,7.2,34.8,0,0,0
Henry George Munsey,Scotland,43,41,3,1118,127*,29.42,729,153.36,1,7,132,50,13,0,43,-,-,-,-,-,-,-,-,-,-,-,-
Safyaan Mohammed Sharif,Scotland,46,21,11,140,26,14,117,119.65,0,0,9,3,11,0,46,45,948,1282,53,Apr-24,Apr-24,24.18,8.11,17.8,2,0,0
Craig Donald Wallace,Scotland,20,15,6,169,27,18.77,148,114.18,0,0,15,3,7,2,20,-,-,-,-,-,-,-,-,-,-,-,-
Mark Robert James Watt,Scotland,39,13,6,62,14*,8.85,46,134.78,0,0,7,1,7,0,39,37,822,980,49,May-27,May-27,20,7.15,16.7,0,1,0
Bradley Thomas James Wheal,Scotland,6,2,2,2,2*,-,2,100,0,0,0,0,1,0,6,6,122,167,5,Mar-20,Mar-20,33.4,8.21,24.4,0,0,0
Oliver James Hairs,Scotland,12,12,2,133,26,13.3,84,158.33,0,0,7,11,2,0,12,1,12,19,1,Jan-19,Jan-19,19,9.5,12,0,0,0
Temba Bavuma,South Africa,16,16,1,410,72,27.33,323,126.93,0,1,37,10,8,0,16,-,-,-,-,-,-,-,-,-,-,-,-
Quinton de Kock,South Africa,57,57,7,1758,79*,35.15,1289,136.38,0,11,179,65,49,15,57,-,-,-,-,-,-,-,-,-,-,-,-
Bjorn Carl Fortuin,South Africa,13,6,2,40,17*,10,32,125,0,0,6,0,4,0,13,13,246,270,14,Mar-16,Mar-16,19.28,6.58,17.5,0,0,0
Reeza Raphael Hendricks,South Africa,36,36,1,993,74,28.37,808,122.89,0,7,114,16,14,0,36,1,6,21,0,-,-,-,21,-,0,0,0
Heinrich Klaasen,South Africa,26,24,5,436,69,22.94,303,143.89,0,3,30,21,19,3,26,1,6,14,0,-,-,-,14,-,0,0,0
Keshav Athmanand Maharaj,South Africa,3,-,-,-,-,-,-,-,-,-,-,-,3,0,3,3,61,43,3,01-Oct,01-Oct,14.33,4.22,20.3,0,0,0
Aiden Kyle Markram,South Africa,15,13,1,426,70,35.5,289,147.4,0,4,36,19,13,0,15,5,66,86,5,Mar-21,Mar-21,17.2,7.81,13.2,0,0,0
David Andrew Miller,South Africa,90,80,25,1742,101*,31.67,1237,140.82,1,4,118,77,66,1,90,-,-,-,-,-,-,-,-,-,-,-,-
Pieter Willem Adriaan Mulder,South Africa,5,3,1,51,36,25.5,44,115.9,0,0,3,2,4,0,5,5,66,90,5,02-Oct,02-Oct,18,8.18,13.2,0,0,0
Lungisani True-man Ngidi,South Africa,23,5,1,7,4,1.75,17,41.17,0,0,0,0,3,0,23,23,473,706,36,Apr-19,Apr-19,19.61,8.95,13.1,1,0,0
Anrich Arno Nortje,South Africa,11,4,2,6,4*,3,17,35.29,0,0,0,0,1,0,11,11,234,290,9,Feb-29,Feb-29,32.22,7.43,26,0,0,0
Dwaine Pretorius,South Africa,17,9,4,169,77*,33.79,102,165.68,0,1,13,8,1,0,17,15,258,347,14,May-17,May-17,24.78,8.06,18.4,0,1,0
Kagiso Rabada,South Africa,35,13,9,89,22,22.25,74,120.27,0,0,9,3,8,0,35,35,757,1090,41,Mar-30,Mar-30,26.58,8.63,18.4,0,0,0
Tabraiz Shamsi,South Africa,42,8,5,4,2*,1.33,18,22.22,0,0,0,0,9,0,42,42,936,1060,49,Apr-25,Apr-25,21.63,6.79,19.1,2,0,0
Hendrik Erasmus van der Dussen,South Africa,29,26,5,756,74*,36,561,134.75,0,5,45,34,7,0,29,-,-,-,-,-,-,-,-,-,-,-,-
Kieron Adrian Pollard,West Indies,88,71,15,1378,75*,24.6,999,137.93,0,6,80,93,38,0,88,54,740,1039,38,Apr-25,Apr-25,27.34,8.42,19.4,1,0,0
Nicholas Pooran,West Indies,41,34,6,634,62*,22.64,511,124.07,0,3,46,37,23,3,41,-,-,-,-,-,-,-,-,-,-,-,-
Fabian Anthony Allen,West Indies,28,21,7,250,34,17.85,180,138.88,0,0,14,20,16,0,28,24,450,541,20,Feb-18,Feb-18,27.05,7.21,22.5,0,0,0
Dwayne John Bravo,West Indies,86,69,16,1229,66*,23.18,1063,115.61,0,4,71,54,44,0,86,73,1409,1899,76,Apr-19,Apr-19,24.98,8.08,18.5,3,0,0
Roston Lamar Chase,West Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre David Stephon Fletcher,West Indies,54,52,7,950,84*,21.11,853,111.37,0,6,66,51,22,1,54,-,-,-,-,-,-,-,-,-,-,-,-
Christopher Henry Gayle,West Indies,74,70,7,1854,117,29.42,1332,139.18,2,14,155,121,18,0,74,29,375,433,19,Feb-15,Feb-15,22.78,6.92,19.7,0,0,0
Shimron Odilon Hetmyer,West Indies,37,30,3,539,61,19.96,461,116.91,0,2,30,28,13,0,37,-,-,-,-,-,-,-,-,-,-,-,-
Evin Lewis,West Indies,45,44,3,1318,125*,32.14,834,158.03,2,9,95,103,14,0,45,-,-,-,-,-,-,-,-,-,-,-,-
Obed  Christopher McCoy,West Indies,12,5,2,36,23,12,25,144,0,0,3,3,1,0,12,11,240,308,19,Apr-22,Apr-22,16.21,7.7,12.6,2,0,0
Ravindranath Rampaul,West Indies,23,6,5,12,8,12,21,57.14,0,0,0,0,2,0,23,23,497,705,29,Mar-16,Mar-16,24.31,8.51,17.1,0,0,0
Andre Dwayne Russell,West Indies,62,52,18,716,51,21.05,458,156.33,0,1,40,60,15,0,62,52,811,1241,36,Mar-43,Mar-43,34.47,9.18,22.5,0,0,0
Lendl Mark Platter Simmons,West Indies,66,65,10,1508,91*,27.41,1222,123.4,0,9,140,68,35,0,66,5,43,72,6,Apr-19,Apr-19,12,10.04,7.1,1,0,0
Oshane Romaine Thomas,West Indies,17,5,3,8,8*,4,11,72.72,0,0,2,0,1,0,17,16,330,504,19,May-28,May-28,26.52,9.16,17.3,0,1,0
Hayden Rashidi Walsh,West Indies,26,12,4,140,28,17.5,138,101.44,0,0,9,4,7,0,26,20,383,485,23,Mar-23,Mar-23,21.08,7.59,16.6,0,0,0
Virat Kohli,India,90,84,24,3159,94*,52.65,2272,139.04,0,28,285,90,42,0,90,12,146,198,4,Jan-13,Jan-13,49.5,8.13,36.5,0,0,0
Ravichandran Ashwin,India,46,11,7,123,31*,30.75,115,106.95,0,0,14,1,8,0,46,46,1026,1193,52,04-Aug,04-Aug,22.94,6.97,19.7,2,0,0
Jasprit Jasbirsingh Bumrah,India,50,6,4,8,7,4,13,61.53,0,0,1,0,7,0,50,49,1075,1195,59,03-Nov,03-Nov,20.25,6.66,18.2,0,0,0
Rahul Desraj Chahar,India,5,1,0,5,5,5,5,100,0,0,1,0,3,0,5,5,108,137,7,Mar-15,Mar-15,19.57,7.61,15.4,0,0,0
Ishan Pranav Kumar Pandey Kishan,India,3,3,1,80,56,40,55,145.45,0,1,6,5,0,1,3,-,-,-,-,-,-,-,-,-,-,-,-
Ravindrasinh Anirudhsinh Jadeja,India,50,24,10,217,44*,15.5,193,112.43,0,0,12,6,21,0,50,49,973,1152,39,Mar-48,Mar-48,29.53,7.1,24.9,0,0,0
Bhuvneshwar Kumar Singh,India,51,12,7,52,16,10.4,72,72.22,0,0,0,0,8,0,51,51,1091,1255,50,May-24,May-24,25.1,6.9,21.8,1,1,0
Mohammed Shami Ahmed,India,12,-,-,-,-,-,-,-,-,-,-,-,0,0,12,12,262,428,12,Mar-38,Mar-38,35.66,9.8,21.8,0,0,0
Hardik Himanshu Pandya,India,49,33,8,484,42*,19.36,333,145.34,0,0,27,30,30,0,49,45,815,1111,42,Apr-38,Apr-38,26.45,8.17,19.4,1,0,0
Rishabh Rajendra Pant,India,33,29,5,512,65*,21.33,416,123.07,0,2,39,21,9,5,33,-,-,-,-,-,-,-,-,-,-,-,-
Kannaur Lokesh Rahul,India,49,45,6,1557,110*,39.92,1095,142.19,2,12,138,63,18,1,49,-,-,-,-,-,-,-,-,-,-,-,-
